iter	Logloss
0	0.6364306026
1	0.5820110162
2	0.5403607992
3	0.4975264067
4	0.4569481781
5	0.4212226784
6	0.389752845
7	0.3602245506
8	0.335781039
9	0.3090164886
10	0.2889640691
11	0.2684559895
12	0.2507877642
13	0.2349665869
14	0.2188754426
15	0.2071810332
16	0.1943187755
17	0.1828462029
18	0.1731801607
19	0.1639814147
20	0.1547525519
21	0.1468589332
22	0.140089106
23	0.1338388122
24	0.127553777
25	0.1219942857
26	0.1172908224
27	0.1124455809
28	0.1079170344
29	0.1039465022
30	0.09996418358
31	0.09667830186
32	0.09288151781
33	0.08952423363
34	0.08699312774
35	0.0843269632
36	0.08205822834
37	0.07988355874
38	0.07778600113
39	0.07587664915
40	0.07420481843
41	0.07269693621
42	0.07114740952
43	0.06964643883
44	0.06807693715
45	0.06657964343
46	0.06539752134
47	0.06407012355
48	0.06295104413
49	0.06176066242
50	0.06059813552
51	0.0596576457
52	0.0587989131
53	0.05801403288
54	0.0572551335
55	0.05647570821
56	0.05562249315
57	0.05481147349
58	0.05420041241
59	0.05354058247
60	0.05296329022
61	0.0524042743
62	0.05179566314
63	0.0511644017
64	0.05069677157
65	0.05011137831
66	0.04968379415
67	0.04916576327
68	0.04861882583
69	0.04819110395
70	0.04783552742
71	0.0474138406
72	0.04704061379
73	0.0466410639
74	0.04629280792
75	0.04605299534
76	0.04575709337
77	0.04542051937
78	0.04516916254
79	0.04485230895
80	0.04469492138
81	0.04441661543
82	0.04393514971
83	0.04372802083
84	0.04352191032
85	0.04329100427
86	0.04312036126
87	0.0429484912
88	0.0427394675
89	0.04261804827
90	0.04247318159
91	0.04232236332
92	0.04203803065
93	0.04193391529
94	0.04174431565
95	0.04162447406
96	0.04147223675
97	0.04128255364
98	0.04113528295
99	0.04100115085
100	0.04084245277
101	0.04069477307
102	0.04052020267
103	0.04031103289
104	0.04020690083
105	0.04005905836
106	0.03996286037
107	0.03981736348
108	0.03971707951
109	0.0396384859
110	0.03951246316
111	0.03943132363
112	0.03925090598
113	0.03915914874
114	0.03903501248
115	0.03898082207
116	0.03879510391
117	0.03871152698
118	0.03860284567
119	0.03854826712
120	0.03838755735
121	0.03821694773
122	0.03811128812
123	0.03802410101
124	0.03795507752
125	0.03788554903
126	0.03776496871
127	0.03771002287
128	0.03761153357
129	0.03748925457
130	0.03748246825
131	0.03740462589
132	0.03733654147
133	0.03723946285
134	0.03719745527
135	0.03709207948
136	0.03698532639
137	0.03695015939
138	0.03684921181
139	0.03676633605
140	0.03671050959
141	0.03662752949
142	0.03654172801
143	0.03651611862
144	0.03645549248
145	0.03639084296
146	0.03633977026
147	0.03625790452
148	0.03615335093
149	0.03610800445
